Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,CountryID,Country Name,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
133,ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,172,Ukraine,Europe,147.0,44.0,52.3,43.9,31.5,29.6,81.8,46.9,82.6,66.1,46.7,58.6,75.0,35.0,30.0,2.5,20.0,18.0,33.1,42.1,42.3,$368.8 ,2.5,-2.3,"$8,713",9.5,14.4,"2,202.0",75.6
134,ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,55,Ethiopia,Sub-Saharan Africa,137.0,26.0,53.6,32.6,40.9,35.1,77.2,90.4,83.3,48.6,58.0,60.8,60.8,35.0,20.0,12.1,35.0,30.0,12.4,17.9,92.7,$200.2 ,10.9,9.9,"$2,161",5.2,9.9,"3,586.4",56.2
136,uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,171,Uganda,Sub-Saharan Africa,95.0,8.0,59.7,42.2,38.5,25.4,73.3,88.7,68.6,46.3,83.2,80.1,75.4,55.0,40.0,7.3,40.0,30.0,12.9,19.4,37.7,$88.7 ,4.5,4.3,"$2,354",2.1,5.6,699.7,39.0
137,egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,50,Egypt,Middle East and North Africa,144.0,11.0,52.5,37.0,48.3,29.2,85.2,68.1,0.0,65.9,51.6,62.3,71.8,60.0,50.0,6.6,25.0,23.0,18.0,32.6,94.8,"$1,201.2 ",4.2,3.8,"$12,671",12.1,23.5,"7,391.7",103.3
138,zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,182,Zambia,Sub-Saharan Africa,138.0,27.0,53.6,45.0,35.6,32.3,72.3,80.1,12.3,71.1,46.0,70.3,72.6,55.0,50.0,6.2,35.0,35.0,17.9,25.8,17.2,$68.9 ,3.6,4.0,"$3,996",7.8,6.6,"1,091.2",62.2
139,togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,165,Togo,Sub-Saharan Africa,158.0,35.0,50.3,35.5,29.6,28.1,67.8,77.0,24.5,50.4,46.7,79.1,69.4,65.0,30.0,10.3,45.0,27.0,21.5,27.7,7.8,$12.9 ,4.4,5.5,"$1,659",1.8,-0.7,145.6,78.6
140,india,4.015,0.755,0.765,0.588,0.498,0.2,0.085,74,India,Asia-Pacific,129.0,31.0,55.2,57.3,61.6,47.8,79.4,77.3,14.7,57.1,41.8,72.4,72.4,40.0,40.0,6.3,30.9,32.4,7.2,27.5,1316.9,"$9,459.0 ",6.7,7.2,"$7,183",3.5,3.6,"39,916.1",70.2
141,liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,95,Liberia,Sub-Saharan Africa,160.0,37.0,49.7,26.7,39.0,24.2,82.7,62.1,69.1,50.6,38.3,68.9,60.1,55.0,20.0,12.4,25.0,25.0,21.8,35.5,4.5,$6.1 ,2.5,2.1,"$1,354",2.4,12.4,247.8,34.4
142,comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,36,Comoros,Sub-Saharan Africa,124.0,20.0,55.4,36.5,29.6,24.4,63.9,73.4,91.7,57.2,60.3,82.8,70.0,45.0,30.0,5.0,30.0,50.0,14.5,29.8,0.8,$1.3 ,2.5,2.2,"$1,588",4.3,1.0,8.6,28.4
143,madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,102,Madagascar,Sub-Saharan Africa,114.0,15.0,56.6,33.2,24.4,14.3,91.0,91.8,85.5,47.3,44.6,72.4,69.2,55.0,50.0,7.9,20.0,20.0,10.1,16.6,25.6,$39.7 ,4.1,3.4,"$1,551",1.8,8.1,389.1,37.3
144,lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,94,Lesotho,Sub-Saharan Africa,142.0,28.0,53.1,41.5,45.7,30.9,59.4,33.0,63.5,53.3,58.8,75.0,81.0,55.0,40.0,2.0,35.0,25.0,47.0,47.3,1.9,$7.0 ,3.1,2.8,"$3,581",27.3,5.6,135.0,34.7
145,burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,26,Burundi,Sub-Saharan Africa,162.0,39.0,48.9,20.6,31.0,26.2,74.0,83.3,23.3,50.3,67.5,62.2,68.2,50.0,30.0,5.9,35.0,35.0,12.3,23.6,10.9,$8.0 ,0.0,1.1,$735,1.6,16.6,0.3,56.7
146,zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,183,Zimbabwe,Sub-Saharan Africa,175.0,45.0,40.4,29.7,24.8,15.8,62.3,74.5,23.7,33.4,43.3,72.4,70.0,25.0,10.0,5.0,51.5,25.0,22.3,29.2,14.9,$34.0 ,3.0,2.6,"$2,283",5.0,1.3,289.4,78.4
147,haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,69,Haiti,Americas,143.0,25.0,52.7,10.4,25.3,20.3,79.9,88.3,95.9,36.2,62.6,66.5,72.0,45.0,30.0,6.5,30.0,30.0,14.5,19.7,11.0,$19.9 ,1.2,2.2,"$1,815",14.0,14.7,374.9,31.1
148,botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,21,Botswana,Sub-Saharan Africa,36.0,3.0,69.5,58.1,45.7,52.4,82.7,65.9,94.6,68.7,68.2,78.8,83.8,65.0,70.0,0.6,25.0,22.0,24.9,33.7,2.2,$38.9 ,2.2,4.1,"$17,828",17.4,3.3,400.6,15.6
150,malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,103,Malawi,Sub-Saharan Africa,153.0,32.0,51.4,35.8,40.1,25.2,79.8,70.3,19.1,41.7,64.0,65.5,75.4,50.0,50.0,4.8,30.0,30.0,14.8,31.5,19.2,$22.4 ,4.0,4.0,"$1,167",5.9,11.5,277.1,59.3
152,rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,137,Rwanda,Sub-Saharan Africa,32.0,2.0,71.1,72.2,83.2,67.9,79.8,79.4,86.3,56.2,82.2,76.1,70.4,60.0,40.0,7.3,30.0,30.0,15.0,26.2,11.8,$24.6 ,6.1,6.7,"$2,080",1.3,4.8,366.2,40.6
153,tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,162,Tanzania,Sub-Saharan Africa,94.0,7.0,60.2,35.4,41.4,33.2,80.5,90.3,85.2,46.6,66.2,70.4,67.8,55.0,50.0,8.6,30.0,30.0,12.4,18.0,50.0,$162.2 ,6.0,6.8,"$3,240",2.2,5.3,"1,180.4",38.2
154,afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,1,Afghanistan,Asia-Pacific,152.0,39.0,51.5,19.6,29.6,25.2,91.7,80.3,99.3,49.2,60.4,76.7,66.0,10.0,10.0,7.0,20.0,20.0,5.0,25.6,35.5,$69.6 ,2.5,2.9,"$1,958",8.8,5.0,53.9,7.3
155,central african republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,31,Central African Republic,Sub-Saharan Africa,161.0,38.0,49.1,19.6,29.6,23.2,65.2,94.2,94.3,24.2,40.1,72.3,51.0,45.0,30.0,14.5,50.0,30.0,9.0,13.9,5.0,$3.4 ,4.0,-4.5,$677,6.0,3.8,17.2,53.4
