Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,CountryID,Country Name,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
79,turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,169,Turkey,Europe,68.0,33.0,64.6,55.8,49.8,41.2,76.4,65.1,92.2,66.0,49.2,70.0,79.6,70.0,60.0,2.7,35.0,22.0,25.5,34.1,80.8,"$2,173.2 ",7.0,6.0,"$26,893",11.3,11.1,"10,864.0",28.5
80,malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,104,Malaysia,Asia-Pacific,22.0,6.0,74.0,84.1,68.2,55.4,85.6,83.2,82.4,83.9,74.4,78.6,82.0,60.0,50.0,4.0,25.0,25.0,13.8,23.7,32.1,$930.8 ,5.9,5.2,"$29,041",3.4,3.8,"9,543.4",54.2
81,belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,14,Belarus,Europe,104.0,42.0,57.9,55.2,51.7,37.7,89.4,41.3,85.4,75.0,75.3,67.0,76.4,30.0,10.0,1.8,13.0,18.0,23.8,44.2,9.5,$178.9 ,2.4,-0.3,"$18,931",0.5,6.0,"1,276.4",51.0
82,greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,64,Greece,Europe,106.0,43.0,57.7,52.4,49.5,37.7,59.1,23.3,79.0,74.1,52.5,79.1,81.0,55.0,50.0,2.0,42.0,29.0,38.6,50.6,10.8,$298.7 ,1.4,-0.3,"$27,737",21.5,1.1,"4,046.0",181.9
83,mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,113,Mongolia,Asia-Pacific,126.0,29.0,55.4,48.2,23.8,29.8,88.5,63.1,6.2,66.0,75.0,77.8,75.8,50.0,60.0,4.6,10.0,25.0,20.7,35.1,3.1,$39.7 ,5.1,5.7,"$12,979",7.0,4.6,"1,494.4",91.4
85,nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,123,Nigeria,Sub-Saharan Africa,111.0,14.0,57.3,36.5,34.3,20.5,85.0,96.5,68.2,51.2,83.3,65.0,62.4,45.0,40.0,11.3,24.0,30.0,5.2,10.8,188.7,"$1,118.8 ",0.8,2.7,"$5,929",7.0,16.5,"3,503.0",23.4
87,turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,170,Turkmenistan,Asia-Pacific,164.0,40.0,48.4,31.6,29.8,20.3,95.9,92.0,92.3,30.0,20.0,73.4,76.0,10.0,10.0,2.0,10.0,8.0,15.6,16.4,5.7,$103.5 ,6.5,7.9,"$18,126",3.4,8.0,"2,313.5",28.8
88,algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,3,Algeria,Middle East and North Africa,171.0,14.0,46.2,31.6,36.2,28.9,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30.0,30.0,8.8,35.0,23.0,24.5,41.4,41.5,$632.9 ,2.0,3.1,"$15,237",10.0,5.6,"1,203.0",25.8
89,morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,115,Morocco,Middle East and North Africa,75.0,6.0,62.9,57.2,47.1,39.2,72.2,72.7,66.9,70.3,33.1,83.5,77.4,65.0,70.0,3.8,38.0,30.0,20.9,30.2,34.9,$298.6 ,4.2,3.4,"$8,567",9.3,0.8,"2,651.4",64.4
90,azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,9,Azerbaijan,Asia-Pacific,60.0,13.0,65.4,59.1,53.1,44.7,87.5,59.5,89.4,69.5,63.9,63.0,74.6,60.0,60.0,5.2,25.0,20.0,15.0,36.7,9.8,$171.8 ,0.1,1.2,"$17,492",5.0,13.0,"2,867.0",54.7
